Date,T2M
2019/08/12 15:59:59,34.73
2019/08/12 16:59:59,34.17
2019/08/12 17:59:59,33.27
2019/08/12 18:59:59,32.49
2019/08/12 19:59:59,31.7
2019/08/12 20:59:59,31.08
2019/08/12 21:59:59,30.66
2019/08/12 22:59:59,30.18
2019/08/12 23:59:59,29.6
2019/08/13 00:59:59,29.15
2019/08/13 01:59:59,28.82
2019/08/13 02:59:59,28.48
2019/08/13 03:59:59,28.19
2019/08/13 04:59:59,28.18
2019/08/13 05:59:59,29.56
2019/08/13 06:59:59,31.94
2019/08/13 07:59:59,34.11
2019/08/13 08:59:59,35.44
2019/08/13 09:59:59,36.2
2019/08/13 10:59:59,36.42
2019/08/13 11:59:58,36.58
2019/08/13 12:59:58,36.14
2019/08/13 13:59:58,35.62
2019/08/13 14:59:58,35
2019/08/13 15:59:58,34.49
2019/08/13 16:59:58,33.61
2019/08/13 17:59:58,32.39
2019/08/13 18:59:58,31.7
2019/08/13 19:59:58,31.2
2019/08/13 20:59:58,30.78
2019/08/13 21:59:58,30.37
2019/08/13 22:59:58,29.92
2019/08/13 23:59:58,29.57
2019/08/14 00:59:58,29.33
2019/08/14 01:59:58,28.99
2019/08/14 02:59:58,28.65
2019/08/14 03:59:58,28.4
2019/08/14 04:59:58,28.14
2019/08/14 05:59:58,28.93
2019/08/14 06:59:58,30.32
2019/08/14 07:59:58,30.98
2019/08/14 08:59:58,31.8
2019/08/14 09:59:58,32.69
2019/08/14 10:59:58,33.19
2019/08/14 11:59:58,33.5
2019/08/14 12:59:58,34.12
2019/08/14 13:59:58,34.19
2019/08/14 14:59:58,34.03
2019/08/14 15:59:58,33.63
2019/08/14 16:59:58,33.09
2019/08/14 17:59:58,32.07
2019/08/14 18:59:58,31.54
2019/08/14 19:59:58,31.12
2019/08/14 20:59:58,30.68
2019/08/14 21:59:58,30.21
2019/08/14 22:59:58,29.47
2019/08/14 23:59:58,28.63
2019/08/15 00:59:58,27.98
2019/08/15 01:59:58,27.44
2019/08/15 02:59:58,27.12
2019/08/15 03:59:58,26.94
2019/08/15 04:59:58,26.92
2019/08/15 05:59:58,27.16
2019/08/15 06:59:58,27.58
2019/08/15 07:59:58,28
2019/08/15 08:59:58,28.68
2019/08/15 09:59:58,29.93
2019/08/15 10:59:58,31.3
2019/08/15 11:59:58,32.34
2019/08/15 12:59:58,32.9
2019/08/15 13:59:58,33.04
2019/08/15 14:59:58,32.8
2019/08/15 15:59:58,32.1
2019/08/15 16:59:58,30.89
2019/08/15 17:59:58,29.34
2019/08/15 18:59:58,28.72
2019/08/15 19:59:58,28.34
2019/08/15 20:59:58,27.94
2019/08/15 21:59:58,27.52
2019/08/15 22:59:58,27.15
2019/08/15 23:59:58,26.83
2019/08/16 00:59:58,26.65
2019/08/16 01:59:58,26.48
2019/08/16 02:59:58,26.35
2019/08/16 03:59:58,26.25
2019/08/16 04:59:58,26.14
2019/08/16 05:59:58,26.26
2019/08/16 06:59:58,26.7
2019/08/16 07:59:58,27.88
2019/08/16 08:59:58,29.42
2019/08/16 09:59:58,30.76
2019/08/16 10:59:58,31.76
2019/08/16 11:59:58,32.36
2019/08/16 12:59:58,32.43
2019/08/16 13:59:58,32.2
2019/08/16 14:59:58,31.66
2019/08/16 15:59:58,30.74
2019/08/16 16:59:58,29.48
2019/08/16 17:59:58,28.12
2019/08/16 18:59:58,27.47
2019/08/16 19:59:58,27.05
2019/08/16 20:59:58,26.75
2019/08/16 21:59:58,26.48
2019/08/16 22:59:58,26.31
2019/08/16 23:59:58,26.2
2019/08/17 00:59:58,26.11
2019/08/17 01:59:58,26.03
2019/08/17 02:59:58,25.88
2019/08/17 03:59:58,25.8
2019/08/17 04:59:58,25.82
2019/08/17 05:59:58,26.26
2019/08/17 06:59:58,26.93
2019/08/17 07:59:58,27.65
2019/08/17 08:59:58,28.44
2019/08/17 09:59:58,29.25
2019/08/17 10:59:58,30.08
2019/08/17 11:59:58,30.76
2019/08/17 12:59:58,31.15
2019/08/17 13:59:58,31.08
2019/08/17 14:59:58,30.66
2019/08/17 15:59:58,30.05
2019/08/17 16:59:58,29.08
2019/08/17 17:59:58,28.02
2019/08/17 18:59:58,27.46
2019/08/17 19:59:58,27.07
2019/08/17 20:59:58,26.76
2019/08/17 21:59:58,26.48
2019/08/17 22:59:58,26.26
2019/08/17 23:59:58,26.04
2019/08/18 00:59:58,25.83
2019/08/18 01:59:58,25.63
2019/08/18 02:59:58,25.51
2019/08/18 03:59:58,25.41
2019/08/18 04:59:58,25.4
2019/08/18 05:59:58,25.8
2019/08/18 06:59:58,26.76
2019/08/18 07:59:58,28.02
2019/08/18 08:59:58,29.27
2019/08/18 09:59:58,30.35
2019/08/18 10:59:58,31.09
2019/08/18 11:59:58,31.61
2019/08/18 12:59:58,31.9
2019/08/18 13:59:58,31.86
2019/08/18 14:59:58,31.72
2019/08/18 15:59:58,31.19
2019/08/18 16:59:58,29.98
2019/08/18 17:59:58,28.23
2019/08/18 18:59:58,27.56
2019/08/18 19:59:58,27.07
2019/08/18 20:59:58,26.62
2019/08/18 21:59:58,26.23
2019/08/18 22:59:58,25.83
2019/08/18 23:59:58,25.41
2019/08/19 00:59:58,24.94
2019/08/19 01:59:58,24.57
2019/08/19 02:59:58,24.27
2019/08/19 03:59:58,23.98
2019/08/19 04:59:58,24.05
2019/08/19 05:59:58,25.73
2019/08/19 06:59:58,28.04
2019/08/19 07:59:58,30.05
2019/08/19 08:59:58,31.4
2019/08/19 09:59:58,32.49
2019/08/19 10:59:58,33.32
2019/08/19 11:59:58,33.94
2019/08/19 12:59:58,34.25
2019/08/19 13:59:58,34.33
2019/08/19 14:59:58,34.15
2019/08/19 15:59:58,33.43
2019/08/19 16:59:58,31.87
2019/08/19 17:59:58,29.46
2019/08/19 18:59:58,28.65
2019/08/19 19:59:58,28
2019/08/19 20:59:58,27.39
2019/08/19 21:59:58,26.83
2019/08/19 22:59:58,26.33
2019/08/19 23:59:58,25.89
2019/08/20 00:59:58,25.49
2019/08/20 01:59:58,25.12
2019/08/20 02:59:58,24.78
2019/08/20 03:59:58,24.51
2019/08/20 04:59:58,24.52
2019/08/20 05:59:58,25.62
2019/08/20 06:59:58,28.18
2019/08/20 07:59:58,30.23
2019/08/20 08:59:58,31.44
2019/08/20 09:59:58,32.49
2019/08/20 10:59:58,33.4
2019/08/20 11:59:58,34.04
2019/08/20 12:59:58,34.37
2019/08/20 13:59:58,34.52
2019/08/20 14:59:58,34.23
2019/08/20 15:59:58,33.12
2019/08/20 16:59:58,31.15
2019/08/20 17:59:58,28.62
2019/08/20 18:59:58,27.69
2019/08/20 19:59:58,27.23
2019/08/20 20:59:58,26.9
2019/08/20 21:59:58,26.66
2019/08/20 22:59:58,26.52
2019/08/20 23:59:58,26.5
2019/08/21 00:59:58,26.48
2019/08/21 01:59:58,26.33
2019/08/21 02:59:58,25.76
2019/08/21 03:59:58,25.13
2019/08/21 04:59:58,24.87
2019/08/21 05:59:58,26.8
2019/08/21 06:59:58,28.92
2019/08/21 07:59:58,31.75
2019/08/21 08:59:58,33.54
2019/08/21 09:59:58,34.76
2019/08/21 10:59:58,35.55
2019/08/21 11:59:58,36.07
2019/08/21 12:59:58,36.37
2019/08/21 13:59:58,36.3
2019/08/21 14:59:58,35.87
2019/08/21 15:59:58,35.22
2019/08/21 16:59:58,32.96
2019/08/21 17:59:58,30.32
2019/08/21 18:59:58,29.65
2019/08/21 19:59:57,29.02
2019/08/21 20:59:57,28.27
2019/08/21 21:59:57,27.8
2019/08/21 22:59:57,27.57
2019/08/21 23:59:57,27.23
2019/08/22 00:59:57,26.66
2019/08/22 01:59:57,26.16
2019/08/22 02:59:57,25.79
2019/08/22 03:59:57,25.37
2019/08/22 04:59:57,25.24
2019/08/22 05:59:57,26.01
2019/08/22 06:59:57,27.88
2019/08/22 07:59:57,30.99
2019/08/22 08:59:57,32.66
2019/08/22 09:59:57,33.85
2019/08/22 10:59:57,34.71
2019/08/22 11:59:57,35.3
2019/08/22 12:59:57,35.77
2019/08/22 13:59:57,35.71
2019/08/22 14:59:57,35.32
2019/08/22 15:59:57,34.54
2019/08/22 16:59:57,32.73
2019/08/22 17:59:57,29.74
2019/08/22 18:59:57,28.6
2019/08/22 19:59:57,27.83
2019/08/22 20:59:57,27.26
2019/08/22 21:59:57,26.86
2019/08/22 22:59:57,26.8
2019/08/22 23:59:57,26.96
2019/08/23 00:59:57,26.77
2019/08/23 01:59:57,26.24
2019/08/23 02:59:57,26.03
2019/08/23 03:59:57,25.91
2019/08/23 04:59:57,25.86
2019/08/23 05:59:57,26.65
2019/08/23 06:59:57,27.76
2019/08/23 07:59:57,30.34
2019/08/23 08:59:57,32.35
2019/08/23 09:59:57,33.86
2019/08/23 10:59:57,34.9
2019/08/23 11:59:57,35.6
2019/08/23 12:59:57,36
2019/08/23 13:59:57,36.1
2019/08/23 14:59:57,36.01
2019/08/23 15:59:57,35.62
2019/08/23 16:59:57,34.24
2019/08/23 17:59:57,31.89
2019/08/23 18:59:57,30.94
2019/08/23 19:59:57,30.12
2019/08/23 20:59:57,29.33
2019/08/23 21:59:57,28.68
2019/08/23 22:59:57,28.15
2019/08/23 23:59:57,27.61
2019/08/24 00:59:57,27.11
2019/08/24 01:59:57,26.9
2019/08/24 02:59:57,26.94
2019/08/24 03:59:57,26.98
2019/08/24 04:59:57,27.03
2019/08/24 05:59:57,27.78
2019/08/24 06:59:57,29.19
2019/08/24 07:59:57,33.03
